job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
59,w0,delay_ft.B.2,751.608266,2,123.000000,1,COMPLETED_SUCCESSFULLY,751.610066,62.080000,813.690066,0.001800,62.081800,1.000029,5-6,-1.000000,""
64,w0,delay_is.B.2,809.359933,2,67.000000,1,COMPLETED_SUCCESSFULLY,809.361733,6.609000,815.970733,0.001801,6.610801,1.000272,3-4,-1.000000,""
65,w0,delay_is.B.1,817.327764,1,70.000000,1,COMPLETED_SUCCESSFULLY,817.329564,9.257000,826.586564,0.001800,9.258800,1.000194,3,-1.000000,""
44,w0,delay_lu.C.4,559.091549,4,436.000000,1,COMPLETED_SUCCESSFULLY,559.093349,290.530000,849.623349,0.001800,290.531800,1.000006,18-19 22-23,-1.000000,""
69,w0,delay_is.B.1,861.417080,1,70.000000,1,COMPLETED_SUCCESSFULLY,861.418880,9.257000,870.675880,0.001800,9.258800,1.000194,14,-1.000000,""
68,w0,delay_is.C.4,857.168028,4,77.000000,1,COMPLETED_SUCCESSFULLY,857.169828,16.684000,873.853828,0.001800,16.685800,1.000108,5-6 12-13,-1.000000,""
62,w0,delay_ft.B.1,801.669224,1,149.000000,1,COMPLETED_SUCCESSFULLY,801.671024,88.510000,890.181024,0.001800,88.511800,1.000020,1,-1.000000,""
51,w0,delay_ft.C.2,641.457422,2,399.000000,1,COMPLETED_SUCCESSFULLY,641.459222,265.800000,907.259222,0.001800,265.801800,1.000007,29 31,-1.000000,""
66,w0,delay_ft.B.1,825.281546,1,149.000000,1,COMPLETED_SUCCESSFULLY,825.283346,88.510000,913.793346,0.001800,88.511800,1.000020,4,-1.000000,""
60,w0,delay_lu.B.2,772.937992,2,212.000000,1,COMPLETED_SUCCESSFULLY,772.939792,140.950000,913.889792,0.001800,140.951800,1.000013,7-8,-1.000000,""
72,w0,delay_is.B.1,924.518927,1,70.000000,1,COMPLETED_SUCCESSFULLY,924.520727,9.257000,933.777727,0.001800,9.258800,1.000194,4,-1.000000,""
54,w0,delay_ft.C.2,683.308561,2,399.000000,1,COMPLETED_SUCCESSFULLY,683.310361,265.800000,949.110361,0.001800,265.801800,1.000007,33-34,-1.000000,""
29,w0,delay_lu.C.2,358.858397,2,891.000000,1,COMPLETED_SUCCESSFULLY,358.860197,593.590000,952.450197,0.001800,593.591800,1.000003,9 20,-1.000000,""
46,w0,delay_ft.C.1,571.931821,1,580.000000,1,COMPLETED_SUCCESSFULLY,571.933621,386.480000,958.413621,0.001800,386.481800,1.000005,0,-1.000000,""
74,w0,delay_is.B.1,967.052662,1,70.000000,1,COMPLETED_SUCCESSFULLY,967.054462,9.257000,976.311462,0.001800,9.258800,1.000194,0,-1.000000,""
77,w0,delay_is.C.4,995.991187,4,77.000000,1,COMPLETED_SUCCESSFULLY,995.992987,16.684000,1012.676987,0.001800,16.685800,1.000108,14-17,-1.000000,""
33,w0,delay_lu.C.2,419.567873,2,891.000000,1,COMPLETED_SUCCESSFULLY,419.569673,593.590000,1013.159673,0.001800,593.591800,1.000003,26-27,-1.000000,""
70,w0,delay_lu.B.2,881.541288,2,212.000000,1,COMPLETED_SUCCESSFULLY,881.543088,140.950000,1022.493088,0.001800,140.951800,1.000013,5-6,-1.000000,""
71,w0,delay_lu.B.2,904.843545,2,212.000000,1,COMPLETED_SUCCESSFULLY,904.845345,140.950000,1045.795345,0.001800,140.951800,1.000013,1 12,-1.000000,""
61,w0,delay_ft.C.2,782.027408,2,399.000000,1,COMPLETED_SUCCESSFULLY,782.029208,265.800000,1047.829208,0.001800,265.801800,1.000007,10-11,-1.000000,""
82,w0,delay_is.B.2,1069.693233,2,67.000000,1,COMPLETED_SUCCESSFULLY,1069.695033,6.609000,1076.304033,0.001800,6.610800,1.000272,11-12,-1.000000,""
63,w0,delay_lu.B.1,806.288824,1,420.000000,1,COMPLETED_SUCCESSFULLY,806.290624,279.990000,1086.280624,0.001800,279.991800,1.000006,2,-1.000000,""
84,w0,delay_is.B.4,1090.526189,4,64.000000,1,COMPLETED_SUCCESSFULLY,1090.527989,3.993000,1094.520989,0.001800,3.994800,1.000451,2 20-22,-1.000000,""
87,w0,delay_is.B.2,1133.261725,2,67.000000,1,COMPLETED_SUCCESSFULLY,1133.263525,6.609000,1139.872525,0.001800,6.610800,1.000272,25-26,-1.000000,""
88,w0,delay_is.C.8,1149.309351,8,70.000000,1,COMPLETED_SUCCESSFULLY,1149.311151,9.567000,1158.878151,0.001800,9.568800,1.000188,25-32,-1.000000,""
80,w0,delay_lu.B.2,1033.429016,2,212.000000,1,COMPLETED_SUCCESSFULLY,1033.430816,140.950000,1174.380816,0.001800,140.951800,1.000013,18-19,-1.000000,""
79,w0,delay_ft.C.4,1028.842748,4,228.000000,1,COMPLETED_SUCCESSFULLY,1028.844548,151.940000,1180.784548,0.001800,151.941800,1.000012,5-6 16-17,-1.000000,""
90,w0,delay_is.B.2,1177.531066,2,67.000000,1,COMPLETED_SUCCESSFULLY,1177.532866,6.609000,1184.141866,0.001800,6.610800,1.000272,18-19,-1.000000,""
86,w0,delay_ft.B.2,1122.072505,2,123.000000,1,COMPLETED_SUCCESSFULLY,1122.074305,62.080000,1184.154305,0.001800,62.081800,1.000029,23-24,-1.000000,""
67,w0,delay_ft.C.1,836.033377,1,580.000000,1,COMPLETED_SUCCESSFULLY,836.035177,386.480000,1222.515177,0.001800,386.481800,1.000005,3,-1.000000,""
83,w0,delay_lu.B.2,1084.274231,2,212.000000,1,COMPLETED_SUCCESSFULLY,1084.276031,140.950000,1225.226031,0.001800,140.951800,1.000013,11-12,-1.000000,""
92,w0,delay_is.C.2,1208.770853,2,87.000000,1,COMPLETED_SUCCESSFULLY,1208.772653,26.481000,1235.253653,0.001800,26.482800,1.000068,18-19,-1.000000,""
73,w0,delay_lu.C.4,955.760165,4,436.000000,1,COMPLETED_SUCCESSFULLY,955.761965,290.530000,1246.291965,0.001800,290.531800,1.000006,4 7-9,-1.000000,""
76,w0,delay_lu.B.1,994.423274,1,420.000000,1,COMPLETED_SUCCESSFULLY,994.425074,279.990000,1274.415074,0.001800,279.991800,1.000006,0,-1.000000,""
97,w0,delay_is.B.1,1273.071750,1,70.000000,1,COMPLETED_SUCCESSFULLY,1273.073550,9.257000,1282.330550,0.001800,9.258800,1.000194,8,-1.000000,""
98,w0,delay_is.B.1,1287.153042,1,70.000000,1,COMPLETED_SUCCESSFULLY,1287.154842,9.257000,1296.411842,0.001800,9.258800,1.000194,0,-1.000000,""
100,w0,delay_is.B.2,1319.818494,2,67.000000,1,COMPLETED_SUCCESSFULLY,1319.820294,6.609000,1326.429294,0.001800,6.610800,1.000272,32-33,-1.000000,""
91,w0,delay_lu.C.8,1181.918840,8,269.000000,1,COMPLETED_SUCCESSFULLY,1181.920640,179.080000,1361.000640,0.001800,179.081800,1.000010,5-6 16-17 27-30,-1.000000,""
75,w0,delay_ft.C.1,975.146223,1,580.000000,1,COMPLETED_SUCCESSFULLY,975.148023,386.480000,1361.628023,0.001800,386.481800,1.000005,13,-1.000000,""
94,w0,delay_lu.B.2,1232.960198,2,212.000000,1,COMPLETED_SUCCESSFULLY,1232.961998,140.950000,1373.911998,0.001800,140.951800,1.000013,11-12,-1.000000,""
99,w0,delay_ft.C.8,1300.470870,8,141.000000,1,COMPLETED_SUCCESSFULLY,1300.472670,80.710000,1381.182670,0.001800,80.711800,1.000022,0 8-9 18-19 23-24 31,-1.000000,""
85,w0,delay_lu.C.4,1099.476746,4,436.000000,1,COMPLETED_SUCCESSFULLY,1099.478546,290.530000,1390.008546,0.001800,290.531800,1.000006,2 20-22,-1.000000,""
89,w0,delay_ft.C.2,1162.605744,2,399.000000,1,COMPLETED_SUCCESSFULLY,1162.607544,265.800000,1428.407544,0.001800,265.801800,1.000007,25-26,-1.000000,""
107,w0,delay_is.C.2,1414.990001,2,87.000000,1,COMPLETED_SUCCESSFULLY,1414.991801,26.481000,1441.472801,0.001800,26.482800,1.000068,18-19,-1.000000,""
102,w0,delay_lu.B.2,1341.518732,2,212.000000,1,COMPLETED_SUCCESSFULLY,1341.520532,140.950000,1482.470532,0.001800,140.951800,1.000013,32-33,-1.000000,""
111,w0,delay_is.C.4,1473.932827,4,77.000000,1,COMPLETED_SUCCESSFULLY,1473.934627,16.684000,1490.618627,0.001800,16.685800,1.000108,23-26,-1.000000,""
